"A","品名","文件数","广东文件","其他文件数","卷数","广东确定"
"钟文峰-初审","0395 广东土牛膝","2","广东土牛膝-广东确定.pdf","1","1","True"
"钟文峰-初审","0405 蜈蚣","4","蜈蚣-广东确定.pdf","3","1","True"
"钟文峰-初审","0406 五灵脂","2","五灵脂-广东确定.pdf","1","1","True"
"钟文峰-初审","0408 乌梢蛇","7","乌梢蛇-广东确定.pdf","6","1","True"
"钟文峰-初审","0415 细辛（北细辛）","3","细辛（北细辛）-广东确定.pdf","2","1","True"
"钟文峰-初审","0423 香薷（江香薷）","4","香薷（江香薷）-广东确定.pdf","3","1","True"
"钟文峰-初审","0425 小茴香","2","小茴香-广东确定.pdf","1","1","True"
"钟文峰-初审","0427 薤白（小根蒜）","3","薤白（小根蒜）-广东确定.pdf","2","1","True"
"钟文峰-初审","0448 郁金（广西莪术）","3","郁金（广西莪术）-广东确定.pdf","2","1","True"
"钟文峰-初审","0450 玉米须","4","玉米须-广东确定.pdf","3","1","True"
"钟文峰-初审","0452 玉竹","2","玉竹-广东确定.pdf","1","1","True"
"钟文峰-初审","0473 紫草（新疆紫草）","5","紫草（新疆紫草）-广东确定.pdf","4","1","True"
"钟文峰-初审","0482 棕榈炭","3","棕榈炭-广东确定.pdf","2","1","True"
"钟文峰-初审","0486 叶下珠","2","叶下珠-广东确定.pdf","1","1","True"
"钟文峰-初审","0508 娑罗子（天师栗）","2","娑罗子（天师栗）-广东确定.pdf","1","1","True"
"钟文峰-初审","0519 黄药子","4","黄药子-广东确定.pdf","3","1","True"
"钟文峰-初审","0535 五指毛桃","2","五指毛桃-广东确定.pdf","1","1","True"
"钟文峰-初审","0542 龟甲胶","3","龟甲胶-广东确定.pdf","2","1","True"
"钟文峰-初审","0543 鹿角胶（马鹿）","6","鹿角胶（马鹿）-广东确定.pdf","5","1","True"
"钟文峰-初审","0552 炒车前子（车前）","2","炒车前子（车前）-广东确定.pdf","1","1","True"
"钟文峰-初审","0555 醋莪术（广西莪术）","2","醋莪术（广西莪术）-广东确定.pdf","1","1","True"
"钟文峰-初审","0565 醋没药（天然没药）","2","醋没药（天然没药）-广东确定.pdf","1","1","True"
"钟文峰-初审","0571 麸炒山药","2","麸炒山药-广东确定.pdf","1","1","True"
"钟文峰-初审","0576 醋五灵脂","3","醋五灵脂-广东确定.pdf","2","1","True"
"钟文峰-初审","0578 盐小茴香","2","盐小茴香-广东确定.pdf","1","1","True"
"钟文峰-初审","0600 谷芽","4","谷芽-广东确定.pdf","3","1","True"
"钟文峰-初审","0625 九节菖蒲","4","九节菖蒲-广东确定.pdf","3","1","True"
"钟文峰-初审","0640 红豆蔻","4","红豆蔻-广东确定.pdf","3","1","True"
"钟文峰-初审","0650 茜草炭","2","茜草炭-广东确定.pdf","1","1","True"
"钟文峰-初审","0660 冬凌草","2","冬凌草-广东确定.pdf","1","1","True"
"钟文峰-初审","0661 土贝母","2","土贝母-广东确定.pdf","1","1","True"
"钟文峰-初审","0741 甜叶菊","4","甜叶菊-广东确定.pdf","3","1","True"
"钟文峰-初审","0798 瓦楞子（毛蚶）","4","瓦楞子（毛蚶）-广东确定.pdf","3","1","True"
"钟文峰-初审","0799 枯矾","5","枯矾-广东确定.pdf","4","1","True"
"钟文峰-初审","0816 焦谷芽","2","焦谷芽-广东确定.pdf","1","1","True"
"钟文峰-初审","0872 草果仁","2","草果仁-广东确定.pdf","1","1","True"
"钟文峰-初审","0936 煅石决明（皱纹盘鲍）","4","煅石决明（皱纹盘鲍）-广东确定.pdf","3","1","True"
"钟文峰-初审","0937 煅珍珠母（三角帆蚌）","4","煅珍珠母（三角帆蚌）-广东确定.pdf","3","1","True"
"陈康梅-初审","0121 茯神","10","茯神-广东确定.pdf","9","1","True"
"陈康梅-初审","0129 岗梅","3","岗梅-广东确定.pdf","2","1","True"
"陈康梅-初审","0140 炒谷芽","3","炒谷芽-广东确定.pdf","2","1","True"
"陈康梅-初审","0150 海风藤","8","海风藤-广东确定.pdf","7","1","True"
"陈康梅-初审","0189 鸡蛋花","2","鸡蛋花-广东确定.pdf","1","1","True"
"陈康梅-初审","0252 鹿角霜（马鹿）","2","鹿角霜（马鹿）-广东确定.pdf","1","1","True"
"陈康梅-初审","0370 水牛角","2","水牛角-广东确定.pdf","1","1","True"
"陈康梅-初审","0391 通草","8","通草-广东确定.pdf","7","1","True"
"陈康梅-初审","0413 溪黄草（溪黄草）","3","溪黄草（溪黄草）-广东确定.pdf","2","1","True"
"陈康梅-初审","0435 血余炭","5","血余炭-广东确定.pdf","4","1","True"
"陈康梅-初审","0455 蜜远志（远志）","10","蜜远志（远志）-广东确定.pdf","9","1","True"
"陈康梅-初审","0500 核桃仁","8","核桃仁-广东确定.pdf","7","1","True"
"陈康梅-初审","0503 鹿角（马鹿）","4","鹿角（马鹿）-广东确定.pdf","3","1","True"
"陈康梅-初审","0522 橘络","11","橘络-广东确定.pdf","10","1","True"
"陈康梅-初审","0584 麸炒泽泻（泽泻）","5","麸炒泽泻（泽泻）-广东确定.pdf","4","1","True"
"陈康梅-初审","0593 鸭跖草","2","鸭跖草-广东确定.pdf","1","1","True"
"陈康梅-初审","0719 石楠叶","15","石楠叶-广东确定.pdf","14","2","True"
"陈康梅-初审","0864 木通（三叶木通）","24","木通（三叶木通）-广东确定.pdf","23","3","True"
"陈康梅-初审","0866 苘麻子","16","苘麻子-广东确定.pdf","15","2","True"
"陈康梅-初审","0939 麸炒芡实","6","麸炒芡实-广东确定.pdf","5","1","True"
"陈康梅-初审","0995 石斛（金钗石斛）","7","石斛（金钗石斛）-广东确定.pdf","6","1","True"
